,ans,text,id
0,0.0,ふぁーあ……ねむいな……寝てていい,143
1,1.0,夜明けの定番議題だ,144
2,1.0,■1.まとめ役,144
3,1.0,■2.CO方法,144
4,1.0,■3.回避CO,144
5,1.0,■4.占方法,144
6,1.0,セルフ回答（テンプレだが）,144
7,1.0,■1.確能>確白,144
8,1.0,■2.FOで良いと思うが、まぁ各自思惑あるだろうしお任せする,144
9,1.0,■3.完全にお任せする,144
10,1.0,■4.初日は統一で,144
11,0.0,おはよう,145
12,0.0,僕【占い師】だよ,145
13,1.0,よろしくね,146
14,1.0,【占い師ＣＯ】【ペーター君の対抗確認】,146
15,1.0,クララが来たw,147
16,1.0,占い出来ないぜー,147
17,1.0,■1.確能＞多数決,147
18,1.0,■2.FOが好みなんだが、霊は潜伏するかは皆の意見を聞いてみるか,147
19,1.0,■3.回避して良いだろ,147
20,1.0,■4.統一が良いな,147
21,1.0,よろしく,148
22,1.0,始まったけど14人村わかんないわ、占い先回しでいいんかね,148
23,0.0,占先回しで霊は待って,149
24,1.0,え、占い師の潜伏とかねーだろ,150
25,1.0,狼に相談の時間与えたくねえし、さっさと回そうぜ,150
26,1.0,あ、ペーター坊やと妹の占CO見たぜ,150
27,1.0,■1.確村＞＞ほか,151
28,1.0,■2.FO希望ー,151
29,1.0,■3.状況次第,151
30,1.0,■4.陣形次第かなー,151
31,1.0,議題回答しつつ、今日はちょっと眠いから寝ちゃう,151
32,1.0,あ、僕は非COからCO回しするのは嫌いだと言い添えて,151
33,1.0,寝鳩でもしかしたらみるかもー,151
34,1.0,とかかいてたらみえたー,151
35,1.0,【非占】　いいね,151
36,1.0,さくさくやろう,151
37,1.0,僕寝るけど,151
38,1.0,寝はｔｒｙ,151
39,0.0,早い,152
40,0.0,【非占】【年書の占CO確認】,152
41,1.0,あー,153
42,1.0,占い師のＣＯは確認したぞ,153
43,1.0,なお、俺は【占いは出来ねぇ】,153
44,1.0,ちょっと退席するわ,153
45,1.0,おはよう,154
46,1.0,これからしばらくよろしくね,154
47,1.0,2人とも早い,154
48,1.0,【私は占いなんてできないよ】,154
49,1.0,おはようだーよ,155
50,1.0,14人になったんだねー,155
51,1.0,【非占】【年書の占い確認】,155
52,1.0,■1.確霊＞確白＞初日は多数決,155
